Iterations,Trails,Inputs,Action,Reward,Waypoint,Penalty
13,5,"{'light': 'green', 'oncoming': 'left', 'right': None, 'left': None}",forward,2,forward,0
13,6,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
13,7,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12,forward,0
14,1,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
14,2,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
14,3,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
14,4,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
14,5,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
14,6,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
14,7,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
14,8,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
14,9,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
14,10,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12,forward,0
15,1,"{'light': 'green', 'oncoming': None, 'right': None, 'left': 'left'}",left,2,left,0
15,2,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
15,3,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,left,-0.5
15,4,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
15,5,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
15,6,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
15,7,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2,left,0
15,8,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12,forward,0
16,1,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
16,2,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
16,3,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
16,4,"{'light': 'red', 'oncoming': None, 'right': 'forward', 'left': None}",None,0,forward,0
16,5,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
16,6,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
16,7,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
16,8,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
16,9,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
16,10,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
16,11,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12,forward,0
17,1,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
17,2,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
17,3,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
17,4,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
17,5,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
17,6,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
17,7,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
17,8,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,left,-0.5
17,9,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
17,10,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
17,11,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12,forward,0
18,1,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
18,2,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
18,3,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
18,4,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
18,5,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
18,6,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2,left,0
18,7,"{'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}",forward,2,forward,0
18,8,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
18,9,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
18,10,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
18,11,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
18,12,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
18,13,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
18,14,"{'light': 'red', 'oncoming': 'forward', 'right': None, 'left': None}",None,0,left,0
18,15,"{'light': 'red', 'oncoming': 'forward', 'right': None, 'left': None}",None,0,left,0
18,16,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2,left,0
18,17,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
18,18,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
18,19,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
18,20,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
18,21,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
18,22,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
18,23,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
18,24,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
